City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,76.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
4,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
5,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
11,Bubaque,GW,83.57,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
15,Rikitea,PF,73.4,clear sky,-23.1203,-134.9692,People ThankYou
16,Porto Novo,BJ,80.91,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
20,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
22,Atuona,PF,78.21,overcast clouds,-9.8,-139.0333,Villa Enata
31,East London,ZA,70.11,overcast clouds,-33.0153,27.9116,Tu Casa
32,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
34,Vao,NC,73.78,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
35,Butaritari,KI,80.73,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
36,Hilo,US,78.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
45,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Bundaberg,AU,77.22,moderate rain,-24.85,152.35,Takalvan Motel
53,Cidreira,BR,73.92,clear sky,-30.1811,-50.2056,Hotel Castelo
54,Ambulu,ID,75.54,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
56,Lorengau,PG,81.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
61,Axim,GH,79.92,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
64,San Nicolas,PH,78.35,few clouds,18.1725,120.5953,NORTHVIEW Hotel
68,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
69,Ukiah,US,70.38,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
70,Dakoro,NE,83.89,clear sky,14.5106,6.765,Shagon mai liverpool
82,Biak,ID,76.51,scattered clouds,-0.9131,122.8766,Penginapan Kim
86,Kapit,MY,73.89,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
87,Nauta,PE,78.96,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
90,Juba,SS,80.02,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
91,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Alugan,PH,80.17,clear sky,12.2188,125.4808,JM Lodge
93,Sechura,PE,73.11,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
101,Victoria,HK,75.18,few clouds,22.2855,114.1577,Mini Hotel Central
105,Joao Pinheiro,BR,76.26,overcast clouds,-17.7425,-46.1725,Hotel Santos
