City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,76.06,47,5,5.23,clear sky
1,Port Hedland,AU,-20.3167,118.5667,82.45,42,100,10.36,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,1,2.3,clear sky
3,Kenai,US,60.5544,-151.2583,-2.15,78,40,3.44,scattered clouds
4,Avarua,CK,-21.2078,-159.775,80.65,74,75,5.75,broken clouds
5,Kapaa,US,22.0752,-159.319,80.58,74,75,1.01,broken clouds
6,Katherine,AU,-14.4667,132.2667,82.72,74,100,9.22,overcast clouds
7,Avera,US,33.194,-82.5271,71.71,55,63,3.74,broken clouds
8,Yellowknife,CA,62.456,-114.3525,3.42,91,100,11.01,overcast clouds
9,Maple Creek,CA,49.9168,-109.4848,29.86,66,100,12.97,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,69.46,85,86,26.96,overcast clouds
11,Bubaque,GW,11.2833,-15.8333,83.57,76,51,13.85,broken clouds
12,Akhmim,EG,26.5622,31.745,62.58,49,0,2.53,clear sky
13,Tigil,RU,57.8,158.6667,21.0,86,100,8.77,light snow
14,Severo-Kurilsk,RU,50.6789,156.125,37.27,89,87,10.13,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,73.4,65,0,6.08,clear sky
16,Porto Novo,BJ,6.4965,2.6036,80.91,82,68,7.07,broken clouds
17,Borodino,RU,55.9106,94.8983,15.21,92,100,3.91,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,40.66,70,40,28.77,light rain
19,Hasaki,JP,35.7333,140.8333,61.2,75,100,24.0,light rain
20,Salalah,OM,17.0151,54.0924,75.29,60,0,5.75,clear sky
21,Kruisfontein,ZA,-34.0033,24.7314,67.89,86,100,9.24,overcast clouds
22,Atuona,PF,-9.8,-139.0333,78.21,75,99,12.57,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,66.61,79,0,26.46,clear sky
24,Aklavik,CA,68.2191,-135.0107,-2.79,98,100,6.96,overcast clouds
25,Kodiak,US,57.79,-152.4072,26.11,43,1,6.91,clear sky
26,Bukama,CD,-9.2,25.85,71.13,87,100,1.45,overcast clouds
27,Vestmannaeyjar,IS,63.4427,-20.2734,44.26,84,100,19.86,overcast clouds
28,Haines Junction,CA,60.7522,-137.5108,-4.05,71,100,0.0,overcast clouds
29,Chicama,PE,-7.8447,-79.1469,64.94,61,99,9.64,overcast clouds
30,Portland,US,45.5234,-122.6762,51.48,93,100,1.45,overcast clouds
31,East London,ZA,-33.0153,27.9116,70.11,85,100,22.03,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,78.76,76,61,10.89,broken clouds
33,Port Elizabeth,ZA,-33.918,25.5701,70.11,86,99,15.97,overcast clouds
34,Vao,NC,-22.6667,167.4833,73.78,80,35,14.65,scattered clouds
35,Butaritari,KI,3.0707,172.7902,80.73,79,47,9.57,scattered clouds
36,Hilo,US,19.7297,-155.09,78.24,85,100,1.01,overcast clouds
37,Busselton,AU,-33.65,115.3333,61.09,90,98,17.13,overcast clouds
38,Jamestown,US,42.097,-79.2353,38.84,94,90,8.99,light rain
39,New Norfolk,AU,-42.7826,147.0587,54.75,74,64,1.74,broken clouds
40,Steubenville,US,40.3698,-80.634,47.95,82,100,1.01,moderate rain
41,Vaini,TO,-21.2,-175.2,80.76,89,20,3.44,few clouds
42,Cayenne,GF,4.9333,-52.3333,82.44,83,0,3.0,light rain
43,Hermanus,ZA,-34.4187,19.2345,69.91,85,99,17.58,overcast clouds
44,Gap,FR,44.6667,6.0,29.07,97,100,2.04,light snow
45,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,56,75,9.22,broken clouds
46,Bundaberg,AU,-24.85,152.35,77.22,78,40,3.0,moderate rain
47,Tortoli,IT,39.9256,9.6572,52.99,84,100,3.11,overcast clouds
48,Port Lincoln,AU,-34.7333,135.8667,56.34,82,100,10.76,overcast clouds
49,Thompson,CA,55.7435,-97.8558,9.0,70,5,13.62,clear sky
50,Punta Arenas,CL,-53.15,-70.9167,46.51,42,75,23.02,broken clouds
51,Mataura,NZ,-46.1927,168.8643,49.19,99,100,1.59,overcast clouds
52,Nuuk,GL,64.1835,-51.7216,29.01,93,75,3.44,broken clouds
53,Cidreira,BR,-30.1811,-50.2056,73.92,62,0,11.23,clear sky
54,Ambulu,ID,-8.345,113.6058,75.54,82,99,3.13,overcast clouds
55,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,9.22,clear sky
56,Lorengau,PG,-2.0226,147.2712,81.28,76,51,1.95,broken clouds
57,Albany,US,42.6001,-73.9662,50.27,57,100,6.62,overcast clouds
58,Maryville,US,35.7565,-83.9705,63.16,65,1,1.01,clear sky
59,Barrow,US,71.2906,-156.7887,-5.78,77,40,11.5,haze
60,Vardo,NO,70.3705,31.1107,28.38,59,40,23.02,scattered clouds
