City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavaratti,IN,2021-11-18 17:22:02,10.5669,72.642,81.63,73,100,12.46
1,Kirkwood,US,2021-11-18 17:22:03,38.5834,-90.4068,47.52,37,20,7.0
2,Ushuaia,AR,2021-11-18 17:17:33,-54.8,-68.3,51.42,61,40,21.85
3,East London,ZA,2021-11-18 17:18:15,-33.0153,27.9116,63.54,77,0,10.36
4,Port Alfred,ZA,2021-11-18 17:22:05,-33.5906,26.891,61.48,62,9,11.59
5,Arraial Do Cabo,BR,2021-11-18 17:22:06,-22.9661,-42.0278,91.36,69,0,12.66
6,Thompson,CA,2021-11-18 17:21:53,55.7435,-97.8558,3.36,85,20,2.3
7,Georgetown,MY,2021-11-18 17:22:08,5.4112,100.3354,76.95,94,20,1.14
8,Dikson,RU,2021-11-18 17:22:09,73.5069,80.5464,-17.55,95,50,3.62
9,Zutendaal,BE,2021-11-18 17:22:09,50.9325,5.5727,49.96,83,90,12.66
10,Mbandaka,CD,2021-11-18 17:22:10,0.0487,18.2603,71.69,87,84,3.22
11,Amga,RU,2021-11-18 17:22:11,60.8953,131.9608,-18.85,100,100,2.37
12,Codrington,AU,2021-11-18 17:22:12,-38.2667,141.9667,54.1,70,100,11.18
13,Litovko,RU,2021-11-18 17:22:12,49.2361,135.1742,25.07,97,100,3.62
14,Sesheke,ZM,2021-11-18 17:22:13,-17.4759,24.2968,79.43,43,99,13.13
15,Kerema,PG,2021-11-18 17:22:14,-7.9631,145.7785,78.55,85,100,2.53
16,Anuchino,RU,2021-11-18 17:22:15,43.9622,133.0544,34.12,89,98,3.38
17,Ndende,GA,2021-11-18 17:22:15,-2.4008,11.3581,77.07,92,64,2.06
18,Provideniya,RU,2021-11-18 17:22:16,64.3833,-173.3,5.4,84,17,9.62
19,Bredasdorp,ZA,2021-11-18 17:22:17,-34.5322,20.0403,63.28,54,1,8.59
20,Tanout,NE,2021-11-18 17:22:17,14.9709,8.8879,87.76,11,10,9.73
21,Vanimo,PG,2021-11-18 17:22:18,-2.6741,141.3028,77.94,88,87,2.13
22,Albany,US,2021-11-18 17:22:19,42.6001,-73.9662,68.67,68,69,1.01
23,Qaanaaq,GL,2021-11-18 17:22:20,77.484,-69.3632,-6.52,63,8,6.62
24,Butaritari,KI,2021-11-18 17:22:21,3.0707,172.7902,81.41,78,100,13.94
25,Rikitea,PF,2021-11-18 17:22:21,-23.1203,-134.9692,72.48,68,37,14.07
26,Chokurdakh,RU,2021-11-18 17:22:22,70.6333,147.9167,-15.7,100,60,4.92
27,Bluff,NZ,2021-11-18 17:22:23,-46.6,168.3333,48.09,83,56,13.71
28,Nikolskoye,RU,2021-11-18 17:22:24,59.7035,30.7861,40.87,97,100,11.1
29,Yumen,CN,2021-11-18 17:22:25,40.2833,97.2,32.41,44,82,11.07
30,Punta Arenas,CL,2021-11-18 17:22:26,-53.15,-70.9167,50.11,50,75,21.85
31,Kapaa,US,2021-11-18 17:22:27,22.0752,-159.319,75.18,97,75,5.75
32,Portage,US,2021-11-18 17:20:10,41.1667,-81.1998,46.04,78,100,3.0
33,Kahului,US,2021-11-18 17:18:29,20.8947,-156.47,76.84,90,1,0.0
